month,basics,mob_wife,office_siren,quiet_luxury,unknown
2024-02,10,0,1,26,9
2024-03,28,0,1,13,12
2024-04,23,1,0,17,17
2024-05,15,4,0,25,33
2024-06,40,5,3,49,31
2024-07,37,0,2,49,29
2024-08,16,4,1,26,24
2024-09,37,1,0,59,19
2024-10,43,10,1,51,15
2024-11,21,19,2,45,26
2024-12,12,12,1,41,23
2025-01,32,9,2,61,16
2025-02,14,3,0,23,63
2025-03,35,5,0,47,65
2025-04,11,1,2,32,29
2025-05,13,2,5,35,40
2025-06,7,2,1,34,39
2025-07,15,3,2,59,41
2025-08,13,7,1,13,23
2025-09,18,13,3,28,8
2025-11,10,4,0,13,35
2025-12,12,7,1,22,19
2026-01,18,0,0,13,11
