month,basics,mob_wife,office_siren,quiet_luxury,unknown
2024-02,2,0,3,9,32
2024-03,12,0,3,1,37
2024-04,12,0,0,3,43
2024-05,12,3,0,1,61
2024-06,30,2,5,1,90
2024-07,12,1,4,5,94
2024-08,7,0,2,1,61
2024-09,32,0,4,6,74
2024-10,47,4,1,6,62
2024-11,7,13,5,5,83
2024-12,13,9,0,10,57
2025-01,17,7,2,4,90
2025-02,3,0,1,1,98
2025-03,10,3,0,0,139
2025-04,2,0,0,5,68
2025-05,9,1,2,1,82
2025-06,5,0,0,1,77
2025-07,2,2,1,3,112
2025-08,6,7,1,0,43
2025-09,17,9,0,2,42
2025-11,3,0,0,3,56
2025-12,7,3,1,4,46
2026-01,4,0,0,2,36
